record_id,item_name,item_category,product_weight_g,recommended_pouch_type,material_type,width_cm,height_cm,gusset_cm,thickness_micron,printing_type,zip_lock,food_grade,barrier_level,shelf_life_months,quantity,film_weight_g_per_pouch,material_rate_per_kg_inr,printing_cost_per_pouch_inr,making_cost_per_pouch_inr,wastage_percent,margin_percent,actual_cost_per_pouch_inr,description_for_semantic_search
243,Fertilizer Sample,agri,1200,side gusset,PET+PE,39.5,54.4,15.3,90,full color,yes,yes,medium,18,1000,448.2,151.91,1.41,3.1,5,8,82.32,1200g fertilizer sample side gusset pouch PET+PE 90 micron full color printing with zip lock medium barrier suitable for agri
244,Coffee Beans,dry food,450,stand-up,PET+ALU+PE,18.6,29.4,5.6,90,1 color,no,yes,high,24,5000,103.46,266.44,0.57,3.18,6,15,38.17,450g coffee beans stand-up pouch PET+ALU+PE 90 micron 1 color printing without zip lock high barrier suitable for dry food
245,Garam Masala,dry food,100,stand-up,PET+PE,15.9,22.5,4.7,90,full color,yes,yes,medium,18,5000,69.99,152.48,1.33,0.83,4,11,14.81,100g garam masala stand-up pouch PET+PE 90 micron full color printing with zip lock medium barrier suitable for dry food
246,Namkeen,snack,100,center seal,BOPP+CPP,12.8,19.2,0,80,none,no,yes,low,6,2000,28.42,121.95,0,1.62,8,21,6.65,100g namkeen center seal pouch BOPP+CPP 80 micron none printing without zip lock low barrier suitable for snack
247,Mass Gainer,nutrition,1050,flat bottom,PET+ALU+PE,22.3,32.4,9.1,130,2 color,yes,yes,high,18,100000,227.06,275.56,0.99,5.88,5,22,88.95,1050g mass gainer flat bottom pouch PET+ALU+PE 130 micron 2 color printing with zip lock high barrier suitable for nutrition
248,Cashews,premium food,350,stand-up,PET+ALU+PE,20.5,29.3,5.7,90,none,yes,yes,high,18,2000,112.0,265.97,0.03,1.79,6,14,38.2,350g cashews stand-up pouch PET+ALU+PE 90 micron none printing with zip lock high barrier suitable for premium food
249,Seeds,agri,250,3-side seal,PET+PE,15.4,20.8,0,125,1 color,no,no,medium,18,2000,57.27,154.48,0.44,3.06,6,17,15.31,250g seeds 3-side seal pouch PET+PE 125 micron 1 color printing without zip lock medium barrier suitable for agri
250,Gravy Mix,dry food,100,3-side seal,PET+PE,13.1,17.8,0,75,full color,yes,yes,medium,12,50000,25.55,178.19,1.35,4.36,8,15,12.75,100g gravy mix 3-side seal pouch PET+PE 75 micron full color printing with zip lock medium barrier suitable for dry food
251,Dry Fruits,premium food,550,stand-up,PET+ALU+PE,20.0,28.3,5.5,150,1 color,yes,yes,high,12,10000,175.95,240.24,0.49,6.42,7,19,62.62,550g dry fruits stand-up pouch PET+ALU+PE 150 micron 1 color printing with zip lock high barrier suitable for premium food
252,Coffee Beans,dry food,300,stand-up,PET+ALU+PE,18.2,27.1,6.0,90,2 color,no,yes,high,24,500,98.28,288.4,0.88,2.37,6,9,36.5,300g coffee beans stand-up pouch PET+ALU+PE 90 micron 2 color printing without zip lock high barrier suitable for dry food
253,Cashews,premium food,450,stand-up,PET+ALU+PE,19.4,32.0,5.9,110,2 color,no,yes,high,18,1000,142.28,259.52,1.05,6.38,4,11,51.2,450g cashews stand-up pouch PET+ALU+PE 110 micron 2 color printing without zip lock high barrier suitable for premium food
254,Seeds,agri,450,3-side seal,PET+PE,19.1,25.4,0,100,full color,no,no,medium,18,2000,67.81,160.81,1.44,6.66,9,8,22.37,450g seeds 3-side seal pouch PET+PE 100 micron full color printing without zip lock medium barrier suitable for agri
255,Washing Powder,household,600,stand-up,LDPE,20.1,30.4,5.7,90,2 color,no,no,low,24,10000,113.49,112.91,1.04,4.5,8,21,23.99,600g washing powder stand-up pouch LDPE 90 micron 2 color printing without zip lock low barrier suitable for household
256,Dish Soap,household,450,stand-up,LDPE,21.4,31.1,6.4,80,2 color,no,no,low,24,2000,112.59,118.06,0.79,1.85,5,21,20.24,450g dish soap stand-up pouch LDPE 80 micron 2 color printing without zip lock low barrier suitable for household
257,Muesli,dry food,500,stand-up,BOPP+CPP,20.0,30.3,5.8,100,full color,yes,yes,low,12,1000,126.1,138.02,1.46,1.47,7,19,25.89,500g muesli stand-up pouch BOPP+CPP 100 micron full color printing with zip lock low barrier suitable for dry food
258,Bleach Powder,household,500,stand-up,NYLON+PE,19.9,30.0,6.1,125,none,no,no,high,24,100000,158.84,230.79,0.11,6.92,9,16,55.24,500g bleach powder stand-up pouch NYLON+PE 125 micron none printing without zip lock high barrier suitable for household
259,Namkeen,snack,250,center seal,PET+PE,16.4,23.3,0,90,full color,yes,yes,medium,6,10000,48.52,146.89,1.37,4.88,6,20,17.02,250g namkeen center seal pouch PET+PE 90 micron full color printing with zip lock medium barrier suitable for snack
260,Turmeric Powder,dry food,100,stand-up,PET+PE,16.2,23.0,4.5,100,full color,yes,yes,medium,18,2000,78.92,152.06,1.2,7.7,4,19,25.87,100g turmeric powder stand-up pouch PET+PE 100 micron full color printing with zip lock medium barrier suitable for dry food
261,Protein Powder,nutrition,500,flat bottom,PET+ALU+PE,21.0,33.7,8.8,130,2 color,yes,yes,high,18,25000,220.33,279.81,0.94,1.17,8,12,77.12,500g protein powder flat bottom pouch PET+ALU+PE 130 micron 2 color printing with zip lock high barrier suitable for nutrition
262,Instant Coffee,dry food,100,3-side seal,PET+ALU+PE,11.8,14.4,0,110,none,yes,yes,high,24,100000,28.23,227.01,0.08,4.54,6,8,12.63,100g instant coffee 3-side seal pouch PET+ALU+PE 110 micron none printing with zip lock high barrier suitable for dry food
263,Fertilizer Sample,agri,1950,side gusset,PET+PE,41.0,57.0,14.9,100,1 color,no,no,medium,18,100000,523.36,133.54,0.51,6.06,3,9,85.84,1950g fertilizer sample side gusset pouch PET+PE 100 micron 1 color printing without zip lock medium barrier suitable for agri
264,Multivitamins,pharma,100,stand-up,PET+ALU+PE,14.6,21.2,4.9,130,1 color,no,no,high,24,2000,92.21,226.16,0.57,5.19,4,15,31.83,100g multivitamins stand-up pouch PET+ALU+PE 130 micron 1 color printing without zip lock high barrier suitable for pharma
265,Instant Coffee,dry food,100,3-side seal,PET+ALU+PE,12.7,16.5,0,130,1 color,no,yes,high,24,100000,40.24,297.4,0.43,1.52,9,9,16.54,100g instant coffee 3-side seal pouch PET+ALU+PE 130 micron 1 color printing without zip lock high barrier suitable for dry food
266,Herbal Tea,dry food,50,3-side seal,PET+PE,9.6,13.7,0,125,1 color,yes,yes,medium,12,1000,25.05,142.41,0.58,5.99,5,20,12.77,50g herbal tea 3-side seal pouch PET+PE 125 micron 1 color printing with zip lock medium barrier suitable for dry food
267,Seeds,agri,100,3-side seal,BOPP+CPP,13.0,16.6,0,50,2 color,no,no,low,18,5000,15.93,131.06,0.9,6.18,5,18,11.36,100g seeds 3-side seal pouch BOPP+CPP 50 micron 2 color printing without zip lock low barrier suitable for agri
268,BCAA Powder,nutrition,250,stand-up,PET+ALU+PE,18.0,26.5,6.0,110,none,no,yes,high,18,500,117.15,308.82,0.18,1.75,9,21,50.26,250g bcaa powder stand-up pouch PET+ALU+PE 110 micron none printing without zip lock high barrier suitable for nutrition
269,Almonds,premium food,300,stand-up,PET+ALU+PE,17.6,28.7,6.3,150,none,yes,yes,high,18,1000,170.29,221.24,0,7.44,9,14,56.06,300g almonds stand-up pouch PET+ALU+PE 150 micron none printing with zip lock high barrier suitable for premium food
270,Dry Fruits,premium food,600,stand-up,PET+ALU+PE,20.4,30.0,5.9,130,full color,yes,yes,high,12,2000,166.25,244.97,1.29,4.48,4,20,58.03,600g dry fruits stand-up pouch PET+ALU+PE 130 micron full color printing with zip lock high barrier suitable for premium food
271,Chilli Powder,dry food,100,stand-up,PET+PE,15.1,21.6,5.1,90,none,yes,yes,medium,12,50000,67.49,166.5,0.15,1.22,3,22,15.84,100g chilli powder stand-up pouch PET+PE 90 micron none printing with zip lock medium barrier suitable for dry food
272,Seeds,agri,300,3-side seal,PET+PE,14.9,20.4,0,75,2 color,no,no,medium,18,2000,32.69,135.97,0.96,5.85,4,15,13.46,300g seeds 3-side seal pouch PET+PE 75 micron 2 color printing without zip lock medium barrier suitable for agri
273,Organic Seeds,agri,100,3-side seal,Kraft+PE,12.1,17.1,0,100,2 color,no,no,low,18,2000,30.4,128.59,0.97,7.09,8,22,15.77,100g organic seeds 3-side seal pouch Kraft+PE 100 micron 2 color printing without zip lock low barrier suitable for agri
274,BCAA Powder,nutrition,250,stand-up,PET+ALU+PE,17.5,27.7,6.0,90,2 color,no,yes,high,18,1000,97.03,264.65,0.9,1.2,9,17,35.43,250g bcaa powder stand-up pouch PET+ALU+PE 90 micron 2 color printing without zip lock high barrier suitable for nutrition
275,Soup Powder,dry food,100,3-side seal,PET+ALU+PE,11.6,15.0,0,110,none,no,yes,high,18,1000,28.71,240.56,0.05,1.12,9,8,9.51,100g soup powder 3-side seal pouch PET+ALU+PE 110 micron none printing without zip lock high barrier suitable for dry food
276,Capsules,pharma,50,3-side seal,PET+ALU+PE,8.6,13.5,0,110,1 color,no,no,high,24,2000,19.51,303.8,0.66,4.78,8,19,14.61,50g capsules 3-side seal pouch PET+ALU+PE 110 micron 1 color printing without zip lock high barrier suitable for pharma
277,Garam Masala,dry food,100,stand-up,PET+PE,14.2,21.0,5.4,125,2 color,yes,yes,medium,18,1000,90.04,158.58,0.79,5.65,3,10,23.47,100g garam masala stand-up pouch PET+PE 125 micron 2 color printing with zip lock medium barrier suitable for dry food
278,Microgreens Seeds,agri,50,3-side seal,Kraft+PE,10.9,15.9,0,90,full color,no,no,low,12,1000,23.18,153.85,1.46,6.37,5,13,13.52,50g microgreens seeds 3-side seal pouch Kraft+PE 90 micron full color printing without zip lock low barrier suitable for agri
279,BCAA Powder,nutrition,250,stand-up,PET+ALU+PE,16.5,26.8,6.1,150,2 color,no,yes,high,18,5000,152.13,261.75,0.93,4.35,9,20,58.99,250g bcaa powder stand-up pouch PET+ALU+PE 150 micron 2 color printing without zip lock high barrier suitable for nutrition
280,Seeds,agri,250,3-side seal,PET+PE,14.0,21.7,0,90,none,no,no,medium,18,5000,38.9,157.08,0.09,5.79,3,13,13.96,250g seeds 3-side seal pouch PET+PE 90 micron none printing without zip lock medium barrier suitable for agri
281,Pre-workout,nutrition,250,stand-up,PET+ALU+PE,19.0,28.9,5.6,150,1 color,yes,yes,high,18,500,172.97,307.53,0.44,2.81,3,22,70.93,250g pre-workout stand-up pouch PET+ALU+PE 150 micron 1 color printing with zip lock high barrier suitable for nutrition
282,Muesli,dry food,500,stand-up,BOPP+CPP,20.6,29.5,6.5,100,none,no,yes,low,12,2000,132.11,138.23,0.02,5.06,3,14,27.41,500g muesli stand-up pouch BOPP+CPP 100 micron none printing without zip lock low barrier suitable for dry food
283,Protein Powder,nutrition,700,flat bottom,PET+ALU+PE,21.2,31.0,8.8,110,full color,no,yes,high,18,25000,176.55,248.63,1.28,1.34,4,10,53.21,700g protein powder flat bottom pouch PET+ALU+PE 110 micron full color printing without zip lock high barrier suitable for nutrition
284,Herbal Tea,dry food,50,3-side seal,PET+PE,9.0,12.7,0,75,full color,yes,yes,medium,12,1000,13.25,156.8,1.49,2.29,5,15,7.07,50g herbal tea 3-side seal pouch PET+PE 75 micron full color printing with zip lock medium barrier suitable for dry food
285,Namkeen,snack,500,stand-up,BOPP+CPP,18.8,31.2,5.8,50,none,yes,yes,low,6,25000,61.5,108.9,0.11,7.77,6,16,17.92,500g namkeen stand-up pouch BOPP+CPP 50 micron none printing with zip lock low barrier suitable for snack
286,Rajma,dry food,450,stand-up,PET+PE,19.3,32.0,5.5,100,full color,no,yes,medium,18,5000,125.55,134.74,1.23,6.52,3,8,27.44,450g rajma stand-up pouch PET+PE 100 micron full color printing without zip lock medium barrier suitable for dry food
287,Fertilizer,agri,1950,side gusset,PET+PE,38.9,56.3,14.9,90,none,no,no,medium,24,10000,449.1,175.87,0,7.98,4,22,110.34,1950g fertilizer side gusset pouch PET+PE 90 micron none printing without zip lock medium barrier suitable for agri
288,Organic Seeds,agri,100,3-side seal,Kraft+PE,12.9,14.4,0,120,2 color,no,no,low,18,1000,33.67,112.13,0.89,2.01,7,14,8.14,100g organic seeds 3-side seal pouch Kraft+PE 120 micron 2 color printing without zip lock low barrier suitable for agri
289,Cereals,dry food,700,stand-up,BOPP+CPP,22.0,31.5,6.9,100,2 color,yes,yes,low,12,2000,149.56,116.5,0.88,1.87,7,17,25.26,700g cereals stand-up pouch BOPP+CPP 100 micron 2 color printing with zip lock low barrier suitable for dry food
290,Multivitamins,pharma,100,stand-up,PET+ALU+PE,15.4,22.0,5.4,110,full color,no,no,high,24,500,86.94,227.89,1.31,3.82,8,22,32.86,100g multivitamins stand-up pouch PET+ALU+PE 110 micron full color printing without zip lock high barrier suitable for pharma
291,Microgreens Seeds,agri,50,3-side seal,Kraft+PE,10.4,15.2,0,90,none,no,no,low,12,50000,21.29,149.1,0.01,4.72,6,13,9.47,50g microgreens seeds 3-side seal pouch Kraft+PE 90 micron none printing without zip lock low barrier suitable for agri
292,Garam Masala,dry food,100,stand-up,PET+PE,14.7,20.7,4.8,100,1 color,yes,yes,medium,18,10000,69.47,132.93,0.7,4.61,9,17,18.55,100g garam masala stand-up pouch PET+PE 100 micron 1 color printing with zip lock medium barrier suitable for dry food
293,Lentils,dry food,500,stand-up,PET+PE,18.8,30.6,5.8,90,none,no,yes,medium,18,5000,109.04,158.78,0.19,3.6,9,21,27.83,500g lentils stand-up pouch PET+PE 90 micron none printing without zip lock medium barrier suitable for dry food
294,Pet Food,pet,1000,stand-up,PET+PE,21.2,31.3,7.2,90,2 color,no,no,medium,18,500,132.59,165.17,0.86,4.89,4,17,33.64,1000g pet food stand-up pouch PET+PE 90 micron 2 color printing without zip lock medium barrier suitable for pet
295,Tablets,pharma,100,3-side seal,PET+ALU+PE,13.0,17.2,0,110,full color,no,no,high,36,10000,36.11,235.8,1.21,1.2,7,11,12.98,100g tablets 3-side seal pouch PET+ALU+PE 110 micron full color printing without zip lock high barrier suitable for pharma
296,Soup Powder,dry food,100,3-side seal,PET+ALU+PE,12.1,14.0,0,90,1 color,no,yes,high,18,25000,23.14,284.52,0.68,6.88,5,8,16.04,100g soup powder 3-side seal pouch PET+ALU+PE 90 micron 1 color printing without zip lock high barrier suitable for dry food
297,Bleach Powder,household,450,stand-up,NYLON+PE,20.3,31.7,6.3,100,2 color,no,no,high,24,1000,136.33,209.89,1.03,3.65,3,13,38.75,450g bleach powder stand-up pouch NYLON+PE 100 micron 2 color printing without zip lock high barrier suitable for household
298,Pulses,dry food,1000,stand-up,PET+PE,20.9,30.6,7.4,100,full color,no,yes,medium,18,2000,145.04,165.36,1.37,7.21,7,20,41.81,1000g pulses stand-up pouch PET+PE 100 micron full color printing without zip lock medium barrier suitable for dry food
299,Yeast,bakery,100,3-side seal,PET+ALU+PE,11.2,16.4,0,130,1 color,yes,yes,high,24,10000,35.31,231.46,0.62,7.63,7,14,20.03,100g yeast 3-side seal pouch PET+ALU+PE 130 micron 1 color printing with zip lock high barrier suitable for bakery
300,Ground Coffee,dry food,600,stand-up,PET+ALU+PE,19.0,29.3,6.3,90,1 color,no,yes,high,18,1000,109.87,304.3,0.44,6.17,4,13,47.06,600g ground coffee stand-up pouch PET+ALU+PE 90 micron 1 color printing without zip lock high barrier suitable for dry food
301,Muesli,dry food,500,stand-up,BOPP+CPP,20.4,31.9,6.3,65,2 color,yes,yes,low,12,10000,89.38,112.58,0.96,3.32,9,9,17.04,500g muesli stand-up pouch BOPP+CPP 65 micron 2 color printing with zip lock low barrier suitable for dry food
302,Fertilizer Sample,agri,1700,side gusset,LDPE,38.6,54.8,14.9,70,1 color,no,no,low,18,50000,340.33,109.72,0.51,4.73,3,21,53.07,1700g fertilizer sample side gusset pouch LDPE 70 micron 1 color printing without zip lock low barrier suitable for agri
303,Flour,bakery,1050,stand-up,Paper,21.0,30.3,7.3,100,2 color,yes,yes,low,12,10000,143.62,127.58,0.77,2.02,6,10,24.62,1050g flour stand-up pouch Paper 100 micron 2 color printing with zip lock low barrier suitable for bakery
304,Rajma,dry food,700,stand-up,PET+PE,22.1,33.6,6.6,75,full color,no,yes,medium,18,50000,116.24,177.12,1.25,7.21,4,8,32.63,700g rajma stand-up pouch PET+PE 75 micron full color printing without zip lock medium barrier suitable for dry food
305,Cashews,premium food,200,stand-up,PET+ALU+PE,17.1,26.8,6.2,130,2 color,no,yes,high,18,10000,136.31,241.38,0.76,4.92,9,15,48.36,200g cashews stand-up pouch PET+ALU+PE 130 micron 2 color printing without zip lock high barrier suitable for premium food
306,Mass Gainer,nutrition,1000,flat bottom,PET+ALU+PE,21.6,31.7,8.8,90,full color,yes,yes,high,18,500,148.77,238.63,1.39,7.83,6,21,57.36,1000g mass gainer flat bottom pouch PET+ALU+PE 90 micron full color printing with zip lock high barrier suitable for nutrition
307,Almonds,premium food,150,stand-up,PET+ALU+PE,15.9,21.9,5.4,130,2 color,yes,yes,high,18,50000,104.88,236.64,1.02,3.46,6,8,33.54,150g almonds stand-up pouch PET+ALU+PE 130 micron 2 color printing with zip lock high barrier suitable for premium food
308,Sugar,dry food,500,3-side seal,PET+PE,17.9,23.9,0,125,2 color,no,yes,medium,18,2000,75.24,167.61,0.95,1.42,5,20,18.88,500g sugar 3-side seal pouch PET+PE 125 micron 2 color printing without zip lock medium barrier suitable for dry food
309,Whey Protein,nutrition,600,flat bottom,PET+ALU+PE,23.4,32.4,9.1,150,full color,no,yes,high,18,50000,271.17,306.91,1.41,7.54,7,22,120.32,600g whey protein flat bottom pouch PET+ALU+PE 150 micron full color printing without zip lock high barrier suitable for nutrition
310,Protein Powder,nutrition,1000,flat bottom,PET+ALU+PE,21.4,31.6,9.4,150,none,no,yes,high,18,2000,254.1,230.83,0.13,2.04,4,11,70.22,1000g protein powder flat bottom pouch PET+ALU+PE 150 micron none printing without zip lock high barrier suitable for nutrition
311,Tea Leaves,dry food,100,3-side seal,PET+PE,10.9,15.7,0,90,full color,yes,yes,medium,12,2000,22.93,171.71,1.28,7.36,9,9,14.94,100g tea leaves 3-side seal pouch PET+PE 90 micron full color printing with zip lock medium barrier suitable for dry food
312,Cat Food,pet,450,stand-up,PET+PE,20.2,30.2,6.4,125,full color,no,no,medium,18,500,164.59,169.33,1.39,4.56,6,9,39.08,450g cat food stand-up pouch PET+PE 125 micron full color printing without zip lock medium barrier suitable for pet
313,Bakery Mix,bakery,550,stand-up,PET+PE,18.9,30.4,6.3,90,none,no,yes,medium,12,1000,112.55,169.29,0.16,7.14,6,12,31.29,550g bakery mix stand-up pouch PET+PE 90 micron none printing without zip lock medium barrier suitable for bakery
314,Seeds,agri,100,3-side seal,BOPP+CPP,12.5,16.3,0,100,full color,no,no,low,18,500,30.16,110.33,1.32,5.25,8,19,12.72,100g seeds 3-side seal pouch BOPP+CPP 100 micron full color printing without zip lock low barrier suitable for agri
315,Whey Protein,nutrition,550,flat bottom,PET+ALU+PE,21.7,33.5,9.2,90,none,no,yes,high,18,10000,158.86,300.73,0,6.69,5,12,64.05,550g whey protein flat bottom pouch PET+ALU+PE 90 micron none printing without zip lock high barrier suitable for nutrition
316,Dog Treats,pet,200,stand-up,PET+PE,19.1,28.7,6.5,125,1 color,no,no,medium,12,2000,152.8,145.02,0.62,6.37,5,12,34.28,200g dog treats stand-up pouch PET+PE 125 micron 1 color printing without zip lock medium barrier suitable for pet
317,Lentils,dry food,700,stand-up,PET+PE,22.3,30.4,6.9,125,full color,no,yes,medium,18,25000,183.87,171.05,1.35,1.94,5,19,43.41,700g lentils stand-up pouch PET+PE 125 micron full color printing without zip lock medium barrier suitable for dry food
318,Chips,snack,25,3-side seal,MET BOPP+CPP,6.9,13.4,0,90,none,yes,yes,medium,6,5000,12.73,190.22,0,4.09,5,19,8.14,25g chips 3-side seal pouch MET BOPP+CPP 90 micron none printing with zip lock medium barrier suitable for snack
319,Seeds,agri,100,3-side seal,BOPP+CPP,11.3,17.3,0,65,full color,no,no,low,18,1000,18.64,140.87,1.27,4.32,6,10,9.58,100g seeds 3-side seal pouch BOPP+CPP 65 micron full color printing without zip lock low barrier suitable for agri
320,Coffee Beans,dry food,300,stand-up,PET+ALU+PE,17.5,29.4,5.8,130,none,yes,yes,high,24,50000,144.63,224.47,0.16,6.41,4,21,49.12,300g coffee beans stand-up pouch PET+ALU+PE 130 micron none printing with zip lock high barrier suitable for dry food
321,Chips,snack,25,3-side seal,MET BOPP+CPP,8.4,12.7,0,70,2 color,no,yes,medium,6,500,11.54,191.88,1.04,5.71,6,22,11.59,25g chips 3-side seal pouch MET BOPP+CPP 70 micron 2 color printing without zip lock medium barrier suitable for snack
322,Namkeen,snack,200,center seal,PET+PE,15.3,20.0,0,90,2 color,no,yes,medium,6,10000,39.59,165.64,0.96,2.78,6,21,13.21,200g namkeen center seal pouch PET+PE 90 micron 2 color printing without zip lock medium barrier suitable for snack
323,Cornflakes,dry food,500,stand-up,BOPP+CPP,19.3,29.9,6.2,100,full color,no,yes,low,12,500,124.63,130.69,1.4,6.87,5,16,29.91,500g cornflakes stand-up pouch BOPP+CPP 100 micron full color printing without zip lock low barrier suitable for dry food
324,Flour,bakery,1200,stand-up,Paper,21.4,30.4,6.6,120,2 color,no,yes,low,12,10000,168.0,93.06,0.96,7.23,5,11,27.77,1200g flour stand-up pouch Paper 120 micron 2 color printing without zip lock low barrier suitable for bakery
325,Dry Fruits,premium food,500,stand-up,PET+ALU+PE,21.2,31.2,6.3,110,full color,no,yes,high,12,2000,153.14,284.92,1.4,7.98,5,22,67.91,500g dry fruits stand-up pouch PET+ALU+PE 110 micron full color printing without zip lock high barrier suitable for premium food
326,Namkeen,snack,100,center seal,BOPP+CPP,11.7,18.9,0,100,1 color,yes,yes,low,6,5000,32.03,141.18,0.59,4.23,8,13,11.4,100g namkeen center seal pouch BOPP+CPP 100 micron 1 color printing with zip lock low barrier suitable for snack
327,Namkeen,snack,600,stand-up,BOPP+CPP,21.0,31.4,6.4,80,1 color,yes,yes,low,6,100000,111.79,107.68,0.48,6.62,9,22,25.45,600g namkeen stand-up pouch BOPP+CPP 80 micron 1 color printing with zip lock low barrier suitable for snack
328,Rice,dry food,1000,stand-up,PET+PE,22.5,30.9,6.7,100,2 color,yes,yes,medium,18,25000,148.19,148.58,0.93,4.14,3,15,32.09,1000g rice stand-up pouch PET+PE 100 micron 2 color printing with zip lock medium barrier suitable for dry food
329,Cat Food,pet,450,stand-up,PET+PE,19.9,28.8,5.6,75,full color,no,no,medium,18,10000,89.41,150.66,1.46,1.89,4,13,19.77,450g cat food stand-up pouch PET+PE 75 micron full color printing without zip lock medium barrier suitable for pet
330,Pancake Mix,bakery,550,stand-up,PET+PE,18.9,31.4,5.7,125,none,yes,yes,medium,12,2000,154.13,145.67,0,4.05,4,20,33.07,550g pancake mix stand-up pouch PET+PE 125 micron none printing with zip lock medium barrier suitable for bakery
331,Capsules,pharma,50,3-side seal,PET+ALU+PE,10.2,12.6,0,110,none,no,no,high,24,2000,21.88,275.3,0.09,3.7,6,14,11.86,50g capsules 3-side seal pouch PET+ALU+PE 110 micron none printing without zip lock high barrier suitable for pharma
332,Tea Leaves,dry food,100,3-side seal,PET+PE,10.6,14.8,0,75,2 color,no,yes,medium,12,25000,17.69,167.84,0.91,0.93,3,18,5.84,100g tea leaves 3-side seal pouch PET+PE 75 micron 2 color printing without zip lock medium barrier suitable for dry food
333,Pancake Mix,bakery,700,stand-up,PET+PE,21.2,33.5,6.8,90,none,yes,yes,medium,12,10000,136.39,138.35,0.15,2.95,5,15,26.53,700g pancake mix stand-up pouch PET+PE 90 micron none printing with zip lock medium barrier suitable for bakery
334,Protein Powder,nutrition,450,flat bottom,PET+ALU+PE,21.8,32.7,8.6,130,full color,yes,yes,high,18,5000,218.84,234.84,1.47,6.65,3,11,68.04,450g protein powder flat bottom pouch PET+ALU+PE 130 micron full color printing with zip lock high barrier suitable for nutrition
335,Seeds,agri,250,3-side seal,PET+PE,14.1,18.1,0,90,1 color,no,no,medium,18,1000,33.47,148.33,0.6,1.07,8,12,8.03,250g seeds 3-side seal pouch PET+PE 90 micron 1 color printing without zip lock medium barrier suitable for agri
336,Rajma,dry food,600,stand-up,PET+PE,20.3,28.2,5.6,75,none,yes,yes,medium,18,1000,89.35,150.84,0.01,4.74,6,19,22.99,600g rajma stand-up pouch PET+PE 75 micron none printing with zip lock medium barrier suitable for dry food
337,Garam Masala,dry food,100,stand-up,PET+PE,14.1,22.7,4.5,90,full color,no,yes,medium,18,10000,63.19,161.14,1.41,3.82,3,16,18.41,100g garam masala stand-up pouch PET+PE 90 micron full color printing without zip lock medium barrier suitable for dry food
338,Namkeen,snack,700,stand-up,BOPP+CPP,21.3,33.1,7.0,50,1 color,no,yes,low,6,5000,76.23,121.48,0.52,1.95,7,15,14.43,700g namkeen stand-up pouch BOPP+CPP 50 micron 1 color printing without zip lock low barrier suitable for snack
339,Dish Soap,household,500,stand-up,LDPE,19.5,28.0,6.2,100,none,no,no,low,24,100000,119.51,95.97,0,4.48,8,19,20.5,500g dish soap stand-up pouch LDPE 100 micron none printing without zip lock low barrier suitable for household
340,Rice,dry food,950,stand-up,PET+PE,22.4,31.8,7.5,100,2 color,yes,yes,medium,18,1000,158.1,170.66,1.01,6.94,5,20,44.01,950g rice stand-up pouch PET+PE 100 micron 2 color printing with zip lock medium barrier suitable for dry food
341,Pre-workout,nutrition,500,stand-up,PET+ALU+PE,19.8,28.5,6.4,130,none,yes,yes,high,18,2000,161.36,279.7,0,3.37,6,17,60.15,500g pre-workout stand-up pouch PET+ALU+PE 130 micron none printing with zip lock high barrier suitable for nutrition
342,Fertilizer,agri,2000,side gusset,PET+PE,39.6,54.4,14.6,75,full color,no,no,medium,24,100000,365.85,143.59,1.32,6.92,9,14,75.52,2000g fertilizer side gusset pouch PET+PE 75 micron full color printing without zip lock medium barrier suitable for agri
343,Garam Masala,dry food,100,stand-up,PET+PE,13.8,22.8,4.6,90,1 color,yes,yes,medium,18,100000,62.93,170.11,0.6,2.11,6,20,17.06,100g garam masala stand-up pouch PET+PE 90 micron 1 color printing with zip lock medium barrier suitable for dry food
344,Organic Seeds,agri,100,3-side seal,Kraft+PE,12.3,17.5,0,100,1 color,no,no,low,18,100000,31.52,156.02,0.43,3.76,3,9,10.23,100g organic seeds 3-side seal pouch Kraft+PE 100 micron 1 color printing without zip lock low barrier suitable for agri
345,Multivitamins,pharma,100,stand-up,PET+ALU+PE,15.5,20.0,5.4,130,1 color,no,no,high,24,25000,96.45,266.72,0.61,5.25,6,18,39.51,100g multivitamins stand-up pouch PET+ALU+PE 130 micron 1 color printing without zip lock high barrier suitable for pharma
346,Pistachios,premium food,400,stand-up,PET+ALU+PE,19.9,30.7,6.1,110,1 color,no,yes,high,18,500,142.28,221.05,0.68,4.44,6,21,46.91,400g pistachios stand-up pouch PET+ALU+PE 110 micron 1 color printing without zip lock high barrier suitable for premium food
347,Dog Treats,pet,250,stand-up,PET+PE,16.7,28.0,5.7,90,2 color,no,no,medium,12,500,92.48,155.35,0.92,3.53,9,11,22.77,250g dog treats stand-up pouch PET+PE 90 micron 2 color printing without zip lock medium barrier suitable for pet
348,Dry Fruits,premium food,200,stand-up,PET+ALU+PE,17.8,28.3,5.6,150,full color,yes,yes,high,12,1000,161.9,308.26,1.42,0.93,6,14,63.15,200g dry fruits stand-up pouch PET+ALU+PE 150 micron full color printing with zip lock high barrier suitable for premium food
349,Sauce Powder,dry food,100,3-side seal,PET+ALU+PE,12.2,14.0,0,90,none,no,yes,high,18,10000,23.33,300.11,0.07,5.51,6,13,15.07,100g sauce powder 3-side seal pouch PET+ALU+PE 90 micron none printing without zip lock high barrier suitable for dry food
